date,season,home_team,away_team,wday,midweek,points_home,points_away,fthg,ftag,hs,as,hst,ast,hf,af,hy,ay,hr,ar,hc,ac,acn,before_national_comps,after_national_comps,capacity,distance,ln_capacity,season_part,ht_promoted,at_promoted,ht_mv,at_mv,ht_short_week,at_short_week,rm_hs,rm_as,rm_hst,rm_ast,rm_fthg,rm_ftag,rm_hc,rm_ac,rm_hf,rm_af,rm_hy,rm_ay,rm_hr,rm_ar
2007-08-11,2007-08,Aston Villa,Liverpool,7,0,0,3,1,2,10,17,6,7,18,11,4,2,0,0,4,2,0,0,1,42749,125423.22720080396,10.663101082278448,beginning,0,0,$123.31m,$336.22m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-11,2007-08,Bolton,Newcastle,7,0,0,3,1,3,13,7,9,5,15,16,1,1,0,0,4,3,0,0,1,28723,166183.69861398105,10.265453474531439,beginning,0,0,$114.57m,$148.72m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-11,2007-08,Derby,Portsmouth,7,0,1,1,2,2,12,12,5,6,14,17,1,2,0,0,6,6,0,0,1,33597,237297.24321355374,10.422192056250804,beginning,1,0,$55.44m,$155.43m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-11,2007-08,Everton,Wigan,7,0,3,0,2,1,12,14,8,4,8,13,0,0,0,0,6,2,0,0,1,39572,23967.89263396639,10.585877076443113,beginning,0,0,$170.83m,$85.53m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-11,2007-08,Middlesbrough,Blackburn,7,0,0,3,1,2,10,4,6,4,16,16,3,4,0,0,13,3,0,0,1,34742,125714.24047055843,10.455704608661868,beginning,0,0,$132.99m,$99.94m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-11,2007-08,Sunderland,Tottenham,7,0,3,0,1,0,9,6,4,3,14,14,1,1,0,0,7,2,0,0,1,49000,378308.4968359132,10.799575577092764,beginning,1,0,$92.13m,$242.50m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-11,2007-08,West Ham,Man City,7,0,0,3,0,2,9,14,2,5,13,11,0,4,0,0,5,3,0,0,1,60000,262158.73729490716,11.002099841204238,beginning,0,0,$132.00m,$165.11m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-12,2007-08,Arsenal,Fulham,1,0,3,0,2,1,19,12,13,9,6,19,1,5,0,0,14,4,0,0,1,60704,11872.135955464802,11.013764872734741,beginning,0,0,$288.64m,$108.96m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-12,2007-08,Chelsea,Birmingham,1,0,3,0,3,2,19,6,11,4,8,8,2,1,0,0,5,3,0,0,1,40834,159588.33581256183,10.617270346696145,beginning,0,1,$477.79m,$91.58m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-12,2007-08,Man United,Reading,1,0,1,1,0,0,22,3,9,2,8,16,0,2,0,1,12,3,0,0,1,74140,243220.65590275265,11.213710476704723,beginning,0,0,$390.01m,$72.52m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
